fueltype,mon,jd,M,jd_min,lat,lon,elev,ffmc,ws,waz,bui,ps,saz,pc,pdf,gfl,cur,time,pattern,ftypeN
O1a,,,,,51.621244,-115.608378,2379.0,,,,,,192.0,,,0.35,60.0,20,,31
O1a,,,,,51.621244,-115.608378,2384.0,,,,,,194.0,,,0.35,60.0,20,,31
O1a,,,,,51.621244,-115.608378,2390.0,,,,,,189.0,,,0.35,60.0,20,,31
O1a,,,,,51.621244,-115.608378,2392.0,,,,,,174.0,,,0.35,60.0,20,,31
O1a,,,,,51.621244,-115.608378,2391.0,,,,,,107.0,,,0.35,60.0,20,,31
O1a,,,,,51.621244,-115.608378,2385.0,,,,,,53.0,,,0.35,60.0,20,,31
O1a,,,,,51.621244,-115.608378,2373.0,,,,,,49.0,,,0.35,60.0,20,,31
O1a,,,,,51.621244,-115.608378,2370.0,,,,,,200.0,,,0.35,60.0,20,,31
O1a,,,,,51.621244,-115.608378,2374.0,,,,,,206.0,,,0.35,60.0,20,,31
O1a,,,,,51.621244,-115.608378,2377.0,,,,,,195.0,,,0.35,60.0,20,,31
O1a,,,,,51.621244,-115.608378,2378.0,,,,,,165.0,,,0.35,60.0,20,,31
O1a,,,,,51.621244,-115.608378,2373.0,,,,,,136.0,,,0.35,60.0,20,,31
O1a,,,,,51.621244,-115.608378,2366.0,,,,,,111.0,,,0.35,60.0,20,,31
O1a,,,,,51.621244,-115.608378,2352.0,,,,,,92.0,,,0.35,60.0,20,,31
O1a,,,,,51.621244,-115.608378,2335.0,,,,,,69.0,,,0.35,60.0,20,,31
O1a,,,,,51.621244,-115.608378,2325.0,,,,,,37.0,,,0.35,60.0,20,,31
O1a,,,,,51.621244,-115.608378,2318.0,,,,,,11.0,,,0.35,60.0,20,,31
O1a,,,,,51.621244,-115.608378,2317.0,,,,,,356.0,,,0.35,60.0,20,,31
O1a,,,,,51.621244,-115.608378,2323.0,,,,,,344.0,,,0.35,60.0,20,,31
NF,,,,,51.621244,-115.608378,2334.0,,,,,,324.0,,,,,20,,101
NF,,,,,51.621244,-115.608378,2345.0,,,,,,286.0,,,,,20,,101
NF,,,,,51.621244,-115.608378,2347.0,,,,,,221.0,,,,,20,,101
NF,,,,,51.621244,-115.608378,2346.0,,,,,,198.0,,,,,20,,101
